run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-2-20251226-16:35:52-143607,config,,,*.host[*].mobility.initialX,"uniform(100m, 1150m)",,
General-2-20251226-16:35:52-143607,config,,,*.host[*].mobility.initialY,"uniform(100m, 1150m)",,
General-2-20251226-16:35:52-143607,config,,,*.host[*].wlan[0].radio.displayCommunicationRange,true,,
General-2-20251226-16:35:52-143607,config,,,*.configurator.config,"xml(""<config><interface hosts='**' address='10.0.0.x' netmask='255.255.255.0'/></config>"")",,
General-2-20251226-16:35:52-143607,config,,,*.configurator.addDefaultRoutes,false,,
General-2-20251226-16:35:52-143607,config,,,*.configurator.addStaticRoutes,false,,
General-2-20251226-16:35:52-143607,config,,,*.configurator.optimizeRoutes,false,,
General-2-20251226-16:35:52-143607,config,,,*.host*.ipv4.routingTable.netmaskRoutes,"""""",,
General-2-20251226-16:35:52-143607,config,,,*.linkVisualizer.*.displayLinks,false,,
General-4-20251226-16:35:52-143611,runattr,,,configname,General,,
General-4-20251226-16:35:52-143611,runattr,,,datetime,20251226-16:35:52,,
General-4-20251226-16:35:52-143611,runattr,,,datetimef,20251226-163552,,
General-4-20251226-16:35:52-143611,runattr,,,experiment,General,,
General-4-20251226-16:35:52-143611,runattr,,,inifile,omnetpp.ini,,
General-4-20251226-16:35:52-143611,runattr,,,iterationvars,,,
General-4-20251226-16:35:52-143611,runattr,,,iterationvarsd,,,
General-4-20251226-16:35:52-143611,runattr,,,iterationvarsf,,,
General-4-20251226-16:35:52-143611,runattr,,,measurement,,,
General-4-20251226-16:35:52-143611,runattr,,,network,src.AdhocNetwork1,,
General-4-20251226-16:35:52-143611,runattr,,,processid,143611,,
General-4-20251226-16:35:52-143611,runattr,,,repetition,4,,
General-4-20251226-16:35:52-143611,runattr,,,replication,#4,,
General-4-20251226-16:35:52-143611,runattr,,,resultdir,results,,
General-4-20251226-16:35:52-143611,runattr,,,runnumber,4,,
General-4-20251226-16:35:52-143611,runattr,,,seedset,4,,
General-4-20251226-16:35:52-143611,config,,,image-path,../../../inet4.5/images,,
General-4-20251226-16:35:52-143611,config,,,repeat,5,,
General-4-20251226-16:35:52-143611,config,,,network,src.AdhocNetwork1,,
General-4-20251226-16:35:52-143611,config,,,sim-time-limit,50s,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].numApps,3,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].localPort,4000,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].destPort,4000,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].helloInterval,1s,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].cfInterval,3s,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].maxTrials,3,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].requestTimeout,1s,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[0].maxClusterSize,10,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].connectPort,1000,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].sendBytes,200B,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].app[2].localPort,1000,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].typename,RouterWithMetrics,,
General-4-20251226-16:35:52-143611,config,,,**.metrics.samplePeriod,0.5s,,
General-4-20251226-16:35:52-143611,config,,,**.metrics.recordPerUtility,true,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].typename,WirelessInterface,,
General-4-20251226-16:35:52-143611,config,,,*.radioMedium.typename,Ieee80211DimensionalRadioMedium,,
General-4-20251226-16:35:52-143611,config,,,*.radioMedium.analogModel.typename,DimensionalAnalogModel,,
General-4-20251226-16:35:52-143611,config,,,*.radioMedium.backgroundNoise.power,-120dBm,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.typename,Ieee80211DimensionalRadio,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.transmitter.power,2mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.transmitter.centerFrequency,2.412GHz,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.transmitter.bandwidth,20MHz,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.receiver.sensitivity,-90dBm,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.receiver.snirThreshold,4dB,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,false,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.rateControl.typename,ConstantRateControl,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.rateControl.dataRate,6Mbps,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.rateControl.multicastRate,6Mbps,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.ackTimeout,300us,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.useAck,true,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].mac.headerLength,23B,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.typename,RandomWaypointMobility,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.speed,10mps,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.waitTime,100ms,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].queue.typename,DropTailQueue,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].queue.packetCapacity,10,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].hasStatus,true,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.typename,StateBasedEpEnergyConsumer,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.offPowerConsumption,0mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.sleepPowerConsumption,1mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.switchingPowerConsumption,1mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverIdlePowerConsumption,2mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverBusyPowerConsumption,5mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverReceivingPowerConsumption,10mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterIdlePowerConsumption,2mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterTransmittingPowerConsumption,100mW,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].energyStorage.typename,SimpleEpEnergyStorage,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].energyStorage.nominalCapacity,2J,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].energyStorage.initialCapacity,2J,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].energyManagement.typename,SimpleEpEnergyManagement,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].energyManagement.nodeStartCapacity,0.0001J,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].energyManagement.nodeShutdownCapacity,0.0001J,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].**.bitrate,6Mbps,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].forwarding,true,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.constraintAreaMinX,0m,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.constraintAreaMinY,0m,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.constraintAreaMinZ,0m,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.constraintAreaMaxX,1250m,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.constraintAreaMaxY,1250m,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.constraintAreaMaxZ,0m,,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.initialX,"uniform(100m, 1150m)",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].mobility.initialY,"uniform(100m, 1150m)",,
General-4-20251226-16:35:52-143611,config,,,*.host[*].wlan[0].radio.displayCommunicationRange,true,,
General-4-20251226-16:35:52-143611,config,,,*.configurator.config,"xml(""<config><interface hosts='**' address='10.0.0.x' netmask='255.255.255.0'/></config>"")",,
General-4-20251226-16:35:52-143611,config,,,*.configurator.addDefaultRoutes,false,,
General-4-20251226-16:35:52-143611,config,,,*.configurator.addStaticRoutes,false,,
General-4-20251226-16:35:52-143611,config,,,*.configurator.optimizeRoutes,false,,
General-4-20251226-16:35:52-143611,config,,,*.host*.ipv4.routingTable.netmaskRoutes,"""""",,
General-4-20251226-16:35:52-143611,config,,,*.linkVisualizer.*.displayLinks,false,,
General-3-20251226-16:35:52-143610,runattr,,,configname,General,,
General-3-20251226-16:35:52-143610,runattr,,,datetime,20251226-16:35:52,,
General-3-20251226-16:35:52-143610,runattr,,,datetimef,20251226-163552,,
General-3-20251226-16:35:52-143610,runattr,,,experiment,General,,
General-3-20251226-16:35:52-143610,runattr,,,inifile,omnetpp.ini,,
General-3-20251226-16:35:52-143610,runattr,,,iterationvars,,,
General-3-20251226-16:35:52-143610,runattr,,,iterationvarsd,,,
General-3-20251226-16:35:52-143610,runattr,,,iterationvarsf,,,
General-3-20251226-16:35:52-143610,runattr,,,measurement,,,
General-3-20251226-16:35:52-143610,runattr,,,network,src.AdhocNetwork1,,
General-3-20251226-16:35:52-143610,runattr,,,processid,143610,,
General-3-20251226-16:35:52-143610,runattr,,,repetition,3,,
General-3-20251226-16:35:52-143610,runattr,,,replication,#3,,
General-3-20251226-16:35:52-143610,runattr,,,resultdir,results,,
General-3-20251226-16:35:52-143610,runattr,,,runnumber,3,,
General-3-20251226-16:35:52-143610,runattr,,,seedset,3,,
General-3-20251226-16:35:52-143610,config,,,image-path,../../../inet4.5/images,,
General-3-20251226-16:35:52-143610,config,,,repeat,5,,
General-3-20251226-16:35:52-143610,config,,,network,src.AdhocNetwork1,,
General-3-20251226-16:35:52-143610,config,,,sim-time-limit,50s,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].ipv4.arp.typename,GlobalArp,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].numApps,3,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].typename,src.cluster.ClusterApp,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].localPort,4000,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].destPort,4000,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].helloInterval,1s,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].cfInterval,3s,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].hldTimeThreshold,1s,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].maxTrials,3,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].requestTimeout,1s,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[0].maxClusterSize,10,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].typename,src.tcp.RecordingTcpClientApp,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].delaySamplePeriod,1s,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].delayStaleWindow,3s,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].connectPort,1000,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].tOpen,"uniform(1s, 2s)",,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].tSend,"uniform(1s, 2s)",,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].thinkTime,"uniform(0s, 1s)",,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].idleInterval,"uniform(3s, 5s)",,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].sendBytes,200B,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].sendInterval,"uniform(1s, 2s)",,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[1].connectAddress,"""host["" + string((index + intuniform(1,24)) % 25) + ""]""",,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[2].typename,TcpEchoApp,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].app[2].localPort,1000,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].typename,RouterWithMetrics,,
General-3-20251226-16:35:52-143610,config,,,**.metrics.samplePeriod,0.5s,,
General-3-20251226-16:35:52-143610,config,,,**.metrics.recordPerUtility,true,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].typename,WirelessInterface,,
General-3-20251226-16:35:52-143610,config,,,*.radioMedium.typename,Ieee80211DimensionalRadioMedium,,
General-3-20251226-16:35:52-143610,config,,,*.radioMedium.analogModel.typename,DimensionalAnalogModel,,
General-3-20251226-16:35:52-143610,config,,,*.radioMedium.backgroundNoise.power,-120dBm,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.typename,Ieee80211DimensionalRadio,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.transmitter.power,2mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.transmitter.centerFrequency,2.412GHz,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.transmitter.bandwidth,20MHz,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.receiver.sensitivity,-90dBm,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.receiver.snirThreshold,4dB,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,false,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.rateControl.typename,ConstantRateControl,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.rateControl.dataRate,6Mbps,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.rateControl.multicastRate,6Mbps,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.typename,CsmaCaMac,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.ackTimeout,300us,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.useAck,true,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.fullDuplex,false,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].mac.headerLength,23B,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.typename,RandomWaypointMobility,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.speed,10mps,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.waitTime,100ms,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].queue.typename,DropTailQueue,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].queue.packetCapacity,10,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].hasStatus,true,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.typename,StateBasedEpEnergyConsumer,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.offPowerConsumption,0mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.sleepPowerConsumption,1mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.switchingPowerConsumption,1mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverIdlePowerConsumption,2mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverBusyPowerConsumption,5mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.receiverReceivingPowerConsumption,10mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterIdlePowerConsumption,2mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].wlan[0].radio.energyConsumer.transmitterTransmittingPowerConsumption,100mW,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].energyStorage.typename,SimpleEpEnergyStorage,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].energyStorage.nominalCapacity,2J,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].energyStorage.initialCapacity,2J,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].energyManagement.typename,SimpleEpEnergyManagement,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].energyManagement.nodeStartCapacity,0.0001J,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].energyManagement.nodeShutdownCapacity,0.0001J,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].**.bitrate,6Mbps,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].forwarding,true,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.constraintAreaMinX,0m,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.constraintAreaMinY,0m,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.constraintAreaMinZ,0m,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.constraintAreaMaxX,1250m,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.constraintAreaMaxY,1250m,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.constraintAreaMaxZ,0m,,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.initialX,"uniform(100m, 1150m)",,
General-3-20251226-16:35:52-143610,config,,,*.host[*].mobility.initialY,"uniform(100m, 1150m)",,
